Course,Theory Equivalent,Lab Equivalent, Theory Initial,Theory Day,"""Theory Time (1hr 20min)""", Theory Room, Lab Initial,Lab Day,Lab Time (3hr), Lab Room
CSE220-26,,,KKS,SUN+TUE,12:30 PM,10A-10C,"SADF,MMP",MON,2:00 PM,09E-21L
CSE220-27,,,SWG,MON+WED,12:30 PM,09H-32C,"RFF,MHV",SUN,11:00 AM,09B-10L
CSE220-28,,,AJA,MON+WED,2:00 PM,10A-10C,"DBY,SJM",SUN,2:00 PM,09B-11L
CSE220-29,,,AJA,MON+WED,3:30 PM,10A-10C,"RAK,DBY",SUN,11:00 AM,09E-21L
CSE220-30,,,ZMD,SUN+TUE,11:00 AM,09H-36C,"WBH,MAF",MON,2:00 PM,09B-10L
CSE220-31,,,ZMD,SUN+TUE,12:30 PM,09H-36C,"SJM,TNZ",MON,8:00 AM,09E-21L
CSE220-32,,,ZMD,MON+WED,11:00 AM,09A-06C,"AHU,AJK",SUN,11:00 AM,09B-09L
CSE220-33,,,MNY,MON+WED,2:00 PM,09H-37C,"MZG,MHE",SUN,11:00 AM,09B-11L
CSE220-34,,,AHU,SAT+THU,12:30 PM,09A-05C,"IRZ,SHMK",MON,8:00 AM,09E-22L
CSE220-35,,,EHD,SUN+TUE,12:30 PM,09C-13C,"RAK,PSM",MON,2:00 PM,10E-27L
CSE220-36,,,SBDK,SAT+THU,11:00 AM,07D-20C,"AKDR,ASMN",MON,8:00 AM,09F-25L
CSE220-37,,,SBDK,SAT+THU,12:30 PM,07D-20C,"NSQ,SSMT",MON,8:00 AM,12D-26L
CSE220-38,,,MZG,SUN+TUE,9:30 AM,07D-20C ,"HJB,SWG",MON,8:00 AM,12F-31L
CSE221-01,,,PNP,MON+WED,11:00 AM,09H-33C,"TAP,AWK",SUN,11:00 AM,09F-24L
CSE221-02,,,PNP,MON+WED,12:30 PM,09H-33C,"SARF,ANV",SUN,8:00 AM,12F-30L
CSE221-03,,,TAP,SAT+THU,2:00 PM,09H-35C,"RAK,PSM",SUN,8:00 AM,12D-26L
CSE221-04,,,TAP,SAT+THU,3:30 PM,09H-35C,"ARD,SARF",SUN,2:00 PM,09F-25L
CSE221-05,,,RSS,MON+WED,3:30 PM,07H-27C,"ARD,KKP",SUN,8:00 AM,09F-25L
CSE221-06,,,FGZ,SUN+TUE,8:00 AM,10A-05C,"ARD,HFN",SAT,11:00 AM,09B-08L
CSE221-07,,,FGZ,SUN+TUE,9:30 AM,10A-05C,"ARD,ZYH",SAT,2:00 PM,09B-08L
CSE221-08,,,IBA,SUN+TUE,2:00 PM,09H-32C,"ANV,HFN",SAT,8:00 AM,09B-10L
CSE221-09,,,IBA,SUN+TUE,3:30 PM,09H-32C,"AYO,HFN",SAT,2:00 PM,09B-10L
CSE221-10,,,IBA,MON+WED,2:00 PM,09A-06C,"SARF,PSM",SUN,11:00 AM,12F-30L
CSE221-11,,,IBA,MON+WED,3:30 PM,09A-06C,"MUNR,MTJ",SUN,2:00 PM,12F-30L
CSE221-12,,,MUNR,MON+WED,12:30 PM,07F-22C,"TAP,MMP",SAT,11:00 AM,09B-11L
CSE221-13,,,MUNR,MON+WED,9:30 AM,10A-09C,"FDZ,PSM",SAT,11:00 AM,09E-21L
CSE221-14,,,DPU,SUN+TUE,12:30 PM,09H-37C,"NAN,MLH",SAT,2:00 PM,09B-09L
CSE221-15,,,MNW,MON+WED,9:30 AM,09H-34C,"NQM,PSM",SAT,2:00 PM,09B-11L
CSE221-16,,,ZYH,SAT+THU,9:30 AM,09H-35C,"SBDK,FHZ",SUN,2:00 PM,09E-22L
CSE221-17,,,ZYH,SAT+THU,11:00 AM,09H-35C,"SMUR,AKDR",SUN,11:00 AM,10G-34L
CSE221-18,,,NSB,SUN+TUE,9:30 AM,10A-10C,"AKDR,SDTS",SAT,8:00 AM,09B-09L
CSE221-19,,,NSB,SUN+TUE,12:30 PM,10A-04C,"NFF,MHE",SAT,11:00 AM,09B-09L
CSE221-20,,,AYO,SAT+THU,11:00 AM,09H-33C,"EHD,SDTS",SUN,8:00 AM,10G-34L
CSE221-21,,,AYO,SAT+THU,12:30 PM,09H-33C,"MTJ,KKS",SUN,8:00 AM,12F-32L
CSE221-22,,,ANK,MON+WED,8:00 AM,09A-06C,"FDZ,MMP",SAT,8:00 AM,09E-21L
