query_id,config,bleu,rougeL,bertscore,meteor
Q121,full_hybrid,0.7506238537503395,0.96,0.9921835064888,0.8819444444444444
Q122,full_hybrid,0.7506238537503395,0.9,0.9610573649406432,0.8819444444444444
Q123,full_hybrid,0.3575297164449809,0.6363636363636364,0.9385974407196044,0.8962962962962964
Q126,full_hybrid,0.4798782066690663,0.7058823529411764,0.9420267939567566,0.6849868660335421
Q127,full_hybrid,0.7506238537503395,0.9,0.9942383170127868,0.8819444444444444
Q128,full_hybrid,0.4089601472043678,0.7368421052631579,0.9551498293876648,0.7562196601941749
Q131,full_hybrid,0.7506238537503395,0.9333333333333332,0.9766945838928224,0.9799382716049384
Q133,full_hybrid,0.7506238537503395,0.9333333333333332,0.9728959202766418,0.9799382716049384
Q134,full_hybrid,0.2843329181530769,0.56,0.9198415875434875,0.7803819444444445
Q135,full_hybrid,0.7506238537503395,0.9333333333333332,0.9766070246696472,0.9799382716049384
Q137,full_hybrid,0.7506238537503395,0.9333333333333332,0.9738423228263856,0.9799382716049384
Q138,full_hybrid,0.8070557274927981,0.9565217391304348,0.9857581257820128,0.9861386138613862
Q140,full_hybrid,0.0978237574896144,0.7857142857142856,0.9609535932540894,0.76595842531273
Q141,full_hybrid,0.2843329181530769,0.56,0.9198532104492188,0.7803819444444445
Q144,full_hybrid,0.2972188840601335,0.5499999999999999,0.9282255172729492,0.8504310344827586
Q145,full_hybrid,0.3110797281482438,0.5365853658536585,0.9366927742958068,0.8504310344827586
Q146,full_hybrid,0.7506238537503395,0.9333333333333332,0.9736274480819702,0.9799382716049384
Q147,full_hybrid,0.8070557274927981,0.9565217391304348,0.9913859367370604,0.9861386138613862
Q148,full_hybrid,0.7506238537503395,0.9333333333333332,0.9757726788520812,0.9799382716049384
Q149,full_hybrid,0.8070557274927981,0.9565217391304348,0.9864661693572998,0.9861386138613862
Q150,full_hybrid,0.8070557274927981,0.9565217391304348,0.9879013895988464,0.9861386138613862
Q152,full_hybrid,0.4333207865423752,0.7058823529411765,0.9307543635368348,0.715702479338843
Q153,full_hybrid,0.3500482776497398,0.6666666666666666,0.9336000680923462,0.6496644295302012
Q155,full_hybrid,0.3500482776497398,0.6666666666666666,0.930383801460266,0.6496644295302012
